Time	ECG	ECG_Normalized	Heart_Rate	EDA
0.0 393.0 500 0.0 260.0
26.0 375.0 0 0.0 261.0
48.0 371.0 0 13.605442176870747 262.0
70.0 372.0 0 27.210884353741495 263.0
92.0 378.0 0 40.816326530612244 264.0
113.0 397.0 0 54.42176870748299 265.0
134.0 441.0 0 68.02721088435374 266.0
155.0 343.0 0 81.63265306122449 266.0
177.0 365.0 0 95.23809523809524 267.0
198.0 354.0 0 108.84353741496598 268.0
219.0 369.0 0 122.44897959183673 269.0
240.0 379.0 0 136.05442176870747 270.0
262.0 373.0 0 149.65986394557825 271.0
283.0 378.0 0 163.26530612244898 272.0
304.0 400.0 0 176.87074829931973 273.0
325.0 425.0 0 190.47619047619048 274.0
347.0 445.0 0 204.08163265306123 274.0
368.0 409.0 0 217.68707482993196 275.0
389.0 409.0 0 231.29251700680274 276.0
431.0 314.0 0 244.89795918367346 276.0
451.0 352.0 0 258.5034013605442 276.0
473.0 371.0 0 272.10884353741494 276.0
494.0 373.0 0 285.7142857142857 276.0
516.0 374.0 0 299.3197278911565 276.0
536.0 371.0 0 312.9251700680272 276.0
558.0 368.0 0 326.53061224489795 276.0
579.0 372.0 0 340.13605442176873 276.0
601.0 365.0 0 353.74149659863946 276.0
621.0 362.0 0 367.34693877551024 276.0
643.0 367.0 0 380.95238095238096 277.0
664.0 382.0 0 394.5578231292517 277.0
686.0 354.0 0 408.16326530612247 277.0
706.0 370.0 0 421.76870748299325 277.0
728.0 355.0 0 435.3741496598639 277.0
749.0 345.0 0 448.9795918367347 277.0
771.0 347.0 0 462.5850340136055 277.0
791.0 358.0 0 476.1904761904762 277.0
812.0 335.0 0 489.7959183673469 277.0
834.0 503.0 500 503.4013605442177 277.0
856.0 375.0 0 517.0068027210884 277.0
876.0 375.0 0 530.6122448979593 278.0
918.0 283.0 0 544.2176870748299 278.0
939.0 342.0 500 557.8231292517007 278.0
960.0 361.0 0 571.4285714285714 278.0
981.0 376.0 0 551.7190785934367 278.0
1003.0 392.0 0 532.0095857583019 278.0
1023.0 402.0 0 512.3000929231672 278.0
1045.0 429.0 0 492.5906000880325 278.0
1066.0 424.0 0 472.8811072528978 278.0
1088.0 403.0 0 453.171614417763 278.0
1108.0 375.0 0 433.46212158262824 278.0
1130.0 374.0 0 413.75262874749353 278.0
1151.0 359.0 0 394.04313591235876 278.0
1173.0 352.0 0 374.33364307722405 278.0
1193.0 339.0 0 354.6241502420893 278.0
1215.0 353.0 0 334.9146574069546 278.0
1236.0 348.0 0 315.20516457181986 278.0
1258.0 349.0 0 295.49567173668504 278.0
1278.0 344.0 0 275.78617890155033 278.0
1300.0 353.0 0 256.0766860664156 278.0
1321.0 340.0 0 236.3671932312809 278.0
1343.0 339.0 0 216.65770039614608 278.0
1363.0 344.0 0 196.94820756101137 278.0
1385.0 344.0 0 177.23871472587666 277.0
1426.0 267.0 0 157.5292218907419 276.0
1447.0 329.0 500 137.81972905560713 275.0
1469.0 324.0 0 118.11023622047244 274.0
1490.0 316.0 0 118.33026274100239 274.0
1511.0 330.0 0 118.55028926153233 273.0
1532.0 306.0 0 118.77031578206227 272.0
1554.0 325.0 0 118.99034230259221 272.0
1575.0 482.0 0 119.21036882312215 271.0
1596.0 319.0 0 119.4303953436521 270.0
1617.0 322.0 0 119.65042186418204 270.0
1639.0 316.0 0 119.87044838471198 269.0
1660.0 306.0 0 120.09047490524192 268.0
1681.0 323.0 0 120.31050142577186 268.0
1702.0 318.0 0 120.53052794630179 267.0
