Time	ECG	ECG_Normalized	Heart_Rate	EDA
0.0 348.0 500 0.0 548.0
23.0 362.0 0 0.0 548.0
44.0 403.0 0 3.3921302578018997 549.0
67.0 484.0 0 6.784260515603799 549.0
89.0 522.0 0 10.176390773405698 549.0
112.0 521.0 0 13.568521031207599 549.0
1815.0 337.0 0 16.960651289009498 549.0
1836.0 325.0 0 20.352781546811396 549.0
1859.0 333.0 0 23.7449118046133 549.0
1884.0 330.0 0 27.137042062415198 549.0
1906.0 346.0 0 30.5291723202171 549.0
1928.0 299.0 0 33.921302578018995 549.0
1950.0 266.0 0 37.3134328358209 549.0
1973.0 254.0 0 40.70556309362279 549.0
1995.0 245.0 0 44.0976933514247 548.0
2018.0 242.0 0 47.4898236092266 548.0
2040.0 234.0 0 50.88195386702849 548.0
2062.0 237.0 0 54.274084124830395 548.0
2084.0 244.0 0 57.6662143826323 548.0
2107.0 221.0 0 61.0583446404342 548.0
2129.0 228.0 0 64.4504748982361 548.0
2152.0 218.0 0 67.84260515603799 548.0
2173.0 218.0 0 71.2347354138399 548.0
2196.0 219.0 0 74.6268656716418 548.0
2218.0 240.0 0 78.01899592944369 548.0
2241.0 240.0 0 81.41112618724559 548.0
2283.0 522.0 500 84.8032564450475 548.0
2305.0 348.0 0 88.1953867028494 549.0
2328.0 334.0 0 91.5875169606513 549.0
2350.0 327.0 0 94.9796472184532 549.0
2373.0 332.0 0 98.37177747625509 550.0
2395.0 335.0 0 101.76390773405699 550.0
2417.0 308.0 0 105.1560379918589 550.0
2440.0 290.0 0 108.54816824966079 551.0
2462.0 291.0 0 111.9402985074627 551.0
2485.0 298.0 0 115.3324287652646 551.0
2507.0 298.0 0 118.72455902306649 552.0
2529.0 325.0 0 122.1166892808684 552.0
2551.0 350.0 0 125.5088195386703 553.0
2574.0 348.0 0 128.9009497964722 553.0
2596.0 298.0 0 132.2930800542741 553.0
2619.0 240.0 0 135.68521031207598 554.0
2640.0 227.0 0 139.0773405698779 554.0
2663.0 219.0 0 142.4694708276798 554.0
2685.0 279.0 500 145.86160108548168 555.0
2708.0 320.0 0 149.2537313432836 555.0
2730.0 336.0 0 248.30393487109907 555.0
2753.0 336.0 0 347.35413839891453 555.0
2795.0 522.0 500 446.40434192673 555.0
2817.0 348.0 0 545.4545454545455 555.0
2840.0 330.0 0 525.323347409237 555.0
2861.0 343.0 0 505.19214936392854 555.0
2884.0 340.0 0 485.0609513186201 555.0
2907.0 320.0 0 464.9297532733116 555.0
2929.0 298.0 0 444.7985552280031 555.0
2952.0 293.0 0 424.6673571826947 555.0
2973.0 255.0 0 404.53615913738616 555.0
2996.0 249.0 0 384.40496109207766 554.0
3018.0 244.0 0 364.2737630467692 554.0
3041.0 212.0 0 344.14256500146075 554.0
3063.0 177.0 0 324.01136695615224 554.0
3086.0 181.0 0 303.8801689108438 554.0
3107.0 184.0 0 283.7489708655353 554.0
3130.0 201.0 0 263.61777282022683 554.0
3152.0 228.0 0 243.48657477491832 554.0
3175.0 272.0 0 223.35537672960987 554.0
3197.0 289.0 0 203.22417868430142 554.0
3219.0 292.0 0 183.09298063899297 554.0
3241.0 292.0 0 162.96178259368446 553.0
3284.0 509.0 500 142.830584548376 553.0
3306.0 348.0 0 122.69938650306749 553.0
3328.0 333.0 0 125.5055351818213 553.0
3351.0 332.0 0 128.3116838605751 553.0
3373.0 329.0 0 131.11783253932893 553.0
3396.0 325.0 0 133.92398121808273 553.0
3419.0 297.0 0 136.73012989683656 553.0
3440.0 299.0 0 139.53627857559036 553.0
3463.0 273.0 0 142.3424272543442 553.0
3485.0 274.0 0 145.148575933098 553.0
3508.0 304.0 0 147.95472461185182 553.0
3530.0 314.0 0 150.76087329060562 553.0
3552.0 296.0 0 153.56702196935944 553.0
3574.0 289.0 0 156.37317064811324 553.0
3597.0 273.0 0 159.17931932686707 553.0
3619.0 255.0 0 161.98546800562087 553.0
3642.0 331.0 500 164.79161668437467 553.0
3663.0 327.0 0 167.5977653631285 553.0
3686.0 269.0 0 205.02428159345675 553.0
3708.0 270.0 0 242.45079782378502 553.0
3731.0 301.0 0 279.8773140541133 553.0
3753.0 301.0 0 317.3038302844416 553.0
3795.0 517.0 500 354.73034651476985 553.0
3818.0 339.0 0 392.15686274509807 553.0
3840.0 328.0 0 387.21013967141215 553.0
3862.0 325.0 0 382.26341659772623 553.0
3884.0 330.0 0 377.3166935240403 554.0
3907.0 333.0 0 372.3699704503544 554.0
3929.0 331.0 0 367.4232473766685 554.0
3952.0 321.0 0 362.47652430298257 554.0
3974.0 326.0 0 357.52980122929665 554.0
3996.0 333.0 0 352.58307815561074 555.0
4019.0 329.0 0 347.6363550819248 555.0
4041.0 339.0 0 342.6896320082389 555.0
4064.0 352.0 0 337.742908934553 555.0
4085.0 378.0 0 332.79618586086707 555.0
4108.0 405.0 0 327.84946278718115 555.0
4130.0 492.0 0 322.90273971349524 556.0
4153.0 555.0 0 317.9560166398093 556.0
4175.0 560.0 0 313.0092935661234 556.0
4197.0 562.0 0 308.0625704924375 556.0
4219.0 558.0 0 303.11584741875157 556.0
4242.0 558.0 0 298.16912434506565 557.0
4284.0 537.0 0 293.22240127137974 557.0
4306.0 339.0 0 288.2756781976938 557.0
4329.0 320.0 0 283.3289551240079 558.0
4351.0 329.0 0 278.382232050322 558.0
4374.0 330.0 0 273.4355089766361 558.0
4395.0 334.0 0 268.48878590295016 559.0
4418.0 375.0 0 263.54206282926424 559.0
4440.0 449.0 0 258.5953397555783 559.0
4463.0 555.0 0 253.6486166818924 560.0
4486.0 560.0 0 248.7018936082065 560.0
4507.0 552.0 0 243.75517053452057 560.0
4530.0 556.0 0 238.80844746083466 561.0
4552.0 560.0 0 233.86172438714874 561.0
4575.0 560.0 0 228.91500131346282 561.0
4597.0 558.0 0 223.9682782397769 562.0
4619.0 554.0 0 219.021555166091 562.0
4641.0 559.0 0 214.07483209240507 562.0
4664.0 561.0 0 209.1281090187192 562.0
4686.0 560.0 0 204.18138594503324 563.0
4709.0 560.0 0 199.23466287134733 563.0
4730.0 561.0 0 194.2879397976614 563.0
4753.0 561.0 0 189.3412167239755 564.0
4796.0 555.0 0 184.39449365028958 564.0
4817.0 319.0 0 179.44777057660366 564.0
4840.0 311.0 0 174.50104750291771 564.0
4862.0 302.0 0 169.55432442923183 564.0
4885.0 315.0 0 164.60760135554594 564.0
