timeDeltas	HMD	RightTracker	LeftTracker
1283	0,459 1,724 0,457 -0,088 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,372 1,322 0,710 0,640 -0,206 0,317 0,669
1292	0,459 1,724 0,457 -0,088 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,372 1,322 0,710 0,640 -0,206 0,317 0,669
1307	0,460 1,724 0,458 -0,085 -0,122 -0,007 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,318 0,707 0,652 -0,201 0,303 0,665
1315	0,460 1,724 0,458 -0,085 -0,122 -0,007 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,318 0,707 0,652 -0,201 0,303 0,665
1323	0,460 1,724 0,458 -0,085 -0,122 -0,007 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,318 0,707 0,652 -0,201 0,303 0,665
1330	0,460 1,724 0,458 -0,085 -0,122 -0,007 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,318 0,707 0,652 -0,201 0,303 0,665
1342	0,459 1,723 0,459 -0,083 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,369 1,315 0,701 0,668 -0,197 0,284 0,660
1348	0,459 1,723 0,459 -0,083 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,369 1,315 0,701 0,668 -0,197 0,284 0,660
1368	0,459 1,723 0,459 -0,083 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,369 1,315 0,701 0,668 -0,197 0,284 0,660
1386	0,456 1,723 0,459 -0,082 -0,122 0,000 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,314 0,682 0,701 -0,184 0,250 0,642
1401	0,456 1,722 0,459 -0,082 -0,122 0,002 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,315 0,683 0,700 -0,184 0,253 0,642
1413	0,452 1,723 0,459 -0,081 -0,121 0,011 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,370 1,317 0,666 0,735 -0,169 0,219 0,620
1430	0,452 1,723 0,459 -0,083 -0,120 0,011 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,368 1,318 0,659 0,746 -0,161 0,203 0,614
1482	0,452 1,723 0,459 -0,083 -0,120 0,011 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,368 1,318 0,659 0,746 -0,161 0,203 0,614
1495	0,456 1,724 0,458 -0,084 -0,117 0,004 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,362 1,322 0,654 0,744 -0,147 0,168 0,629
1523	0,456 1,723 0,458 -0,085 -0,116 0,003 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,361 1,321 0,654 0,743 -0,148 0,166 0,631
1549	0,456 1,723 0,458 -0,085 -0,116 0,003 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,361 1,321 0,654 0,743 -0,148 0,166 0,631
1573	0,457 1,723 0,458 -0,085 -0,116 0,002 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,355 1,320 0,659 0,742 -0,148 0,154 0,636
1584	0,458 1,723 0,459 -0,084 -0,116 0,000 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,347 1,319 0,667 0,733 -0,156 0,150 0,645
1591	0,459 1,723 0,459 -0,084 -0,115 -0,001 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,347 1,319 0,668 0,729 -0,161 0,156 0,647
1609	0,459 1,723 0,459 -0,084 -0,115 -0,001 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,347 1,319 0,668 0,729 -0,161 0,156 0,647
1640	0,459 1,723 0,459 -0,084 -0,115 -0,001 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,347 1,319 0,668 0,729 -0,161 0,156 0,647
1703	0,460 1,723 0,459 -0,085 -0,114 -0,003 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,338 1,320 0,679 0,707 -0,186 0,164 0,662
1769	0,459 1,724 0,457 -0,087 -0,116 -0,002 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,324 0,714 0,632 -0,227 0,195 0,715
1781	0,460 1,724 0,455 -0,091 -0,120 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,329 0,733 0,595 -0,230 0,227 0,736
1798	0,460 1,724 0,455 -0,091 -0,120 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,329 0,733 0,595 -0,230 0,227 0,736
1809	0,460 1,724 0,455 -0,091 -0,120 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,329 0,733 0,595 -0,230 0,227 0,736
1819	0,460 1,725 0,456 -0,091 -0,119 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,331 0,736 0,590 -0,234 0,231 0,738
1829	0,460 1,725 0,456 -0,091 -0,119 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,331 0,736 0,590 -0,234 0,231 0,738
1836	0,460 1,725 0,456 -0,091 -0,119 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,331 0,736 0,590 -0,234 0,231 0,738
1846	0,460 1,725 0,456 -0,091 -0,119 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,331 0,736 0,590 -0,234 0,231 0,738
1854	0,461 1,725 0,455 -0,093 -0,119 -0,008 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,326 1,334 0,744 0,574 -0,237 0,245 0,745
1863	0,461 1,725 0,455 -0,093 -0,119 -0,008 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,326 1,334 0,744 0,574 -0,237 0,245 0,745
1882	0,461 1,725 0,455 -0,093 -0,119 -0,008 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,326 1,334 0,744 0,574 -0,237 0,245 0,745
1892	0,462 1,726 0,455 -0,093 -0,117 -0,008 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,331 0,747 0,565 -0,236 0,260 0,746
1907	0,461 1,725 0,456 -0,093 -0,119 -0,009 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,330 1,330 0,747 0,567 -0,234 0,269 0,743
1932	0,461 1,725 0,455 -0,094 -0,125 -0,011 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,333 1,329 0,745 0,574 -0,231 0,276 0,735
1946	0,461 1,725 0,455 -0,094 -0,125 -0,011 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,333 1,329 0,745 0,574 -0,231 0,276 0,735
1953	0,461 1,725 0,455 -0,094 -0,125 -0,011 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,333 1,329 0,745 0,574 -0,231 0,276 0,735
1967	0,462 1,726 0,453 -0,095 -0,129 -0,015 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,336 1,325 0,743 0,588 -0,232 0,279 0,723
1978	0,462 1,726 0,453 -0,095 -0,129 -0,015 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,336 1,325 0,743 0,588 -0,232 0,279 0,723
1991	0,462 1,726 0,454 -0,096 -0,129 -0,018 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,322 0,737 0,604 -0,231 0,285 0,707
2001	0,462 1,726 0,454 -0,096 -0,129 -0,018 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,322 0,737 0,604 -0,231 0,285 0,707
2041	0,464 1,726 0,453 -0,096 -0,123 -0,017 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,322 0,738 0,603 -0,231 0,283 0,709
2052	0,464 1,724 0,458 -0,090 -0,118 -0,014 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,350 1,313 0,721 0,646 -0,227 0,292 0,668
2065	0,464 1,724 0,458 -0,090 -0,118 -0,014 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,350 1,313 0,721 0,646 -0,227 0,292 0,668
2085	0,464 1,724 0,458 -0,090 -0,118 -0,014 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,350 1,313 0,721 0,646 -0,227 0,292 0,668
2103	0,464 1,725 0,457 -0,087 -0,125 -0,018 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,350 1,314 0,719 0,649 -0,227 0,288 0,667
2122	0,466 1,725 0,458 -0,083 -0,122 -0,020 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,315 0,711 0,656 -0,226 0,285 0,661
2143	0,466 1,725 0,458 -0,083 -0,122 -0,020 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,315 0,711 0,656 -0,226 0,285 0,661
2152	0,465 1,724 0,459 -0,084 -0,124 -0,020 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,352 1,315 0,711 0,656 -0,227 0,282 0,662
2164	0,465 1,724 0,459 -0,084 -0,124 -0,020 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,352 1,315 0,711 0,656 -0,227 0,282 0,662
2172	0,464 1,722 0,461 -0,078 -0,133 -0,022 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,314 0,701 0,672 -0,228 0,272 0,650
2188	0,464 1,722 0,461 -0,078 -0,133 -0,022 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,314 0,701 0,672 -0,228 0,272 0,650
2205	0,464 1,722 0,461 -0,078 -0,133 -0,022 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,314 0,701 0,672 -0,228 0,272 0,650
2214	0,464 1,722 0,461 -0,078 -0,133 -0,022 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,353 1,314 0,701 0,672 -0,228 0,272 0,650
2224	0,464 1,720 0,467 -0,066 -0,138 -0,029 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,354 1,313 0,694 0,683 -0,223 0,264 0,644
2240	0,464 1,720 0,467 -0,066 -0,138 -0,029 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,354 1,313 0,694 0,683 -0,223 0,264 0,644
2251	0,464 1,720 0,467 -0,066 -0,138 -0,029 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,354 1,313 0,694 0,683 -0,223 0,264 0,644
2260	0,465 1,717 0,472 -0,056 -0,142 -0,035 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,354 1,313 0,695 0,681 -0,212 0,259 0,651
2269	0,465 1,717 0,472 -0,056 -0,142 -0,035 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,354 1,313 0,695 0,681 -0,212 0,259 0,651
2278	0,465 1,716 0,476 -0,047 -0,144 -0,037 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,349 1,307 0,703 0,677 -0,217 0,257 0,655
2284	0,465 1,716 0,476 -0,047 -0,144 -0,037 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,349 1,307 0,703 0,677 -0,217 0,257 0,655
2307	0,465 1,716 0,476 -0,047 -0,144 -0,037 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,349 1,307 0,703 0,677 -0,217 0,257 0,655
2319	0,465 1,716 0,476 -0,047 -0,144 -0,037 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,349 1,307 0,703 0,677 -0,217 0,257 0,655
2334	0,465 1,716 0,475 -0,049 -0,143 -0,036 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,349 1,307 0,703 0,678 -0,220 0,258 0,652
2343	0,464 1,715 0,478 -0,042 -0,146 -0,039 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,346 1,307 0,706 0,671 -0,211 0,233 0,672
2351	0,463 1,713 0,478 -0,044 -0,146 -0,036 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,346 1,307 0,705 0,674 -0,213 0,236 0,667
2361	0,463 1,713 0,478 -0,044 -0,146 -0,036 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,346 1,307 0,705 0,674 -0,213 0,236 0,667
2369	0,463 1,713 0,478 -0,044 -0,146 -0,036 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,346 1,307 0,705 0,674 -0,213 0,236 0,667
2391	0,460 1,710 0,480 -0,035 -0,151 -0,032 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,345 1,308 0,706 0,678 -0,208 0,217 0,670
2411	0,458 1,705 0,486 -0,021 -0,152 -0,032 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,344 1,308 0,706 0,679 -0,204 0,209 0,673
2422	0,454 1,703 0,493 -0,003 -0,155 -0,029 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,344 1,308 0,708 0,673 -0,199 0,201 0,684
2448	0,454 1,703 0,493 -0,003 -0,155 -0,029 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,344 1,308 0,708 0,673 -0,199 0,201 0,684
2464	0,452 1,699 0,499 0,013 -0,158 -0,027 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,343 1,308 0,711 0,657 -0,193 0,193 0,703
2472	0,446 1,691 0,509 0,039 -0,162 -0,021 0,986	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,341 1,309 0,715 0,634 -0,187 0,184 0,728
2487	0,446 1,691 0,509 0,039 -0,162 -0,021 0,986	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,341 1,309 0,715 0,634 -0,187 0,184 0,728
2504	0,436 1,689 0,510 0,042 -0,175 -0,002 0,984	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,719 0,617 -0,182 0,174 0,745
2524	0,433 1,689 0,509 0,038 -0,179 0,001 0,983	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,339 1,310 0,721 0,606 -0,174 0,163 0,759
2535	0,433 1,686 0,509 0,037 -0,177 -0,003 0,984	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,339 1,310 0,720 0,617 -0,177 0,169 0,748
2556	0,428 1,682 0,513 0,051 -0,184 0,001 0,982	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,339 1,310 0,721 0,620 -0,167 0,156 0,751
2565	0,427 1,680 0,515 0,059 -0,184 0,000 0,981	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,720 0,632 -0,163 0,150 0,743
2589	0,427 1,680 0,515 0,059 -0,184 0,000 0,981	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,720 0,632 -0,163 0,150 0,743
2597	0,427 1,680 0,515 0,059 -0,184 0,000 0,981	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,720 0,632 -0,163 0,150 0,743
2608	0,423 1,676 0,516 0,062 -0,190 0,006 0,980	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,339 1,310 0,718 0,643 -0,161 0,143 0,735
2617	0,423 1,676 0,516 0,062 -0,190 0,006 0,980	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,339 1,310 0,718 0,643 -0,161 0,143 0,735
2631	0,414 1,672 0,515 0,067 -0,202 0,019 0,977	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,717 0,657 -0,153 0,131 0,726
2643	0,414 1,672 0,515 0,067 -0,202 0,019 0,977	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,340 1,310 0,717 0,657 -0,153 0,131 0,726
2655	0,407 1,669 0,514 0,072 -0,211 0,027 0,974	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,311 1,284 0,693 0,644 -0,149 0,138 0,738
2662	0,407 1,669 0,514 0,072 -0,211 0,027 0,974	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,311 1,284 0,693 0,644 -0,149 0,138 0,738
2677	0,402 1,661 0,519 0,090 -0,204 0,041 0,974	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,312 1,283 0,693 0,647 -0,136 0,141 0,737
2684	0,402 1,661 0,519 0,090 -0,204 0,041 0,974	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,312 1,283 0,693 0,647 -0,136 0,141 0,737
2696	0,395 1,651 0,531 0,120 -0,204 0,053 0,970	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,315 1,282 0,693 0,653 -0,113 0,152 0,733
2724	0,395 1,651 0,531 0,120 -0,204 0,053 0,970	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,315 1,282 0,693 0,653 -0,113 0,152 0,733
2732	0,388 1,644 0,533 0,136 -0,223 0,051 0,964	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,322 1,281 0,692 0,672 -0,070 0,179 0,715
2744	0,388 1,644 0,533 0,136 -0,223 0,051 0,964	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,322 1,281 0,692 0,672 -0,070 0,179 0,715
2760	0,388 1,644 0,533 0,136 -0,223 0,051 0,964	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,322 1,281 0,692 0,672 -0,070 0,179 0,715
2768	0,387 1,638 0,536 0,148 -0,224 0,049 0,962	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,280 0,690 0,686 -0,053 0,191 0,700
2776	0,382 1,630 0,540 0,164 -0,224 0,058 0,959	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,279 0,688 0,698 -0,042 0,198 0,687
2782	0,382 1,630 0,540 0,164 -0,224 0,058 0,959	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,279 0,688 0,698 -0,042 0,198 0,687
2791	0,382 1,630 0,540 0,164 -0,224 0,058 0,959	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,279 0,688 0,698 -0,042 0,198 0,687
2800	0,377 1,625 0,542 0,177 -0,229 0,064 0,955	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,279 0,687 0,703 -0,038 0,200 0,682
2807	0,377 1,625 0,542 0,177 -0,229 0,064 0,955	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,279 0,687 0,703 -0,038 0,200 0,682
2814	0,377 1,625 0,542 0,177 -0,229 0,064 0,955	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,279 0,687 0,703 -0,038 0,200 0,682
2823	0,374 1,622 0,544 0,186 -0,237 0,069 0,951	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,279 0,688 0,697 -0,042 0,197 0,688
2830	0,374 1,622 0,544 0,186 -0,237 0,069 0,951	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,328 1,279 0,688 0,697 -0,042 0,197 0,688
2838	0,377 1,622 0,543 0,176 -0,233 0,058 0,955	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,279 0,689 0,688 -0,050 0,192 0,698
2846	0,377 1,622 0,543 0,176 -0,233 0,058 0,955	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,279 0,689 0,688 -0,050 0,192 0,698
2855	0,375 1,616 0,546 0,194 -0,241 0,053 0,949	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,279 0,692 0,668 -0,058 0,188 0,717
2863	0,375 1,616 0,546 0,194 -0,241 0,053 0,949	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,325 1,279 0,692 0,668 -0,058 0,188 0,717
2870	0,371 1,609 0,548 0,208 -0,247 0,060 0,945	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,279 0,695 0,651 -0,066 0,185 0,733
2877	0,371 1,609 0,548 0,208 -0,247 0,060 0,945	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,279 0,695 0,651 -0,066 0,185 0,733
2883	0,371 1,609 0,548 0,208 -0,247 0,060 0,945	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,279 0,695 0,651 -0,066 0,185 0,733
2892	0,371 1,609 0,548 0,208 -0,247 0,060 0,945	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,279 0,695 0,651 -0,066 0,185 0,733
2904	0,366 1,600 0,552 0,228 -0,251 0,066 0,938	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,309 1,246 0,632 0,675 -0,055 0,178 0,714
2918	0,366 1,600 0,552 0,228 -0,251 0,066 0,938	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,309 1,246 0,632 0,675 -0,055 0,178 0,714
2924	0,363 1,585 0,558 0,258 -0,246 0,073 0,931	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,309 1,246 0,633 0,667 -0,056 0,182 0,720
2932	0,363 1,585 0,558 0,258 -0,246 0,073 0,931	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,309 1,246 0,633 0,667 -0,056 0,182 0,720
2955	0,361 1,574 0,561 0,275 -0,243 0,079 0,927	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,299 1,243 0,625 0,662 -0,057 0,184 0,724
2964	0,361 1,574 0,561 0,275 -0,243 0,079 0,927	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,299 1,243 0,625 0,662 -0,057 0,184 0,724
2970	0,361 1,574 0,561 0,275 -0,243 0,079 0,927	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,299 1,243 0,625 0,662 -0,057 0,184 0,724
2989	0,360 1,563 0,565 0,287 -0,245 0,076 0,923	0,508 1,233 0,685 0,315 -0,622 0,641 0,321	0,262 1,232 0,601 0,646 -0,063 0,192 0,736
3004	0,360 1,547 0,570 0,323 -0,244 0,071 0,912	0,489 1,219 0,673 0,293 -0,631 0,651 0,305	0,243 1,220 0,585 0,650 -0,066 0,202 0,730
3013	0,360 1,547 0,570 0,323 -0,244 0,071 0,912	0,489 1,219 0,673 0,293 -0,631 0,651 0,305	0,243 1,220 0,585 0,650 -0,066 0,202 0,730
3024	0,360 1,547 0,570 0,323 -0,244 0,071 0,912	0,489 1,219 0,673 0,293 -0,631 0,651 0,305	0,243 1,220 0,585 0,650 -0,066 0,202 0,730
3052	0,362 1,541 0,574 0,329 -0,241 0,068 0,911	0,489 1,219 0,672 0,303 -0,631 0,650 0,298	0,243 1,221 0,585 0,650 -0,066 0,202 0,730
3063	0,362 1,541 0,574 0,329 -0,241 0,068 0,911	0,489 1,219 0,672 0,303 -0,631 0,650 0,298	0,243 1,221 0,585 0,650 -0,066 0,202 0,730
3080	0,364 1,519 0,580 0,373 -0,239 0,057 0,895	0,469 1,200 0,657 0,305 -0,636 0,658 0,264	0,219 1,208 0,570 0,642 -0,074 0,212 0,733
3093	0,363 1,501 0,584 0,409 -0,238 0,054 0,879	0,452 1,183 0,646 0,297 -0,635 0,669 0,248	0,196 1,196 0,556 0,629 -0,083 0,219 0,741
3101	0,363 1,501 0,584 0,409 -0,238 0,054 0,879	0,452 1,183 0,646 0,297 -0,635 0,669 0,248	0,196 1,196 0,556 0,629 -0,083 0,219 0,741
3108	0,363 1,490 0,584 0,427 -0,235 0,058 0,871	0,435 1,171 0,638 0,274 -0,628 0,683 0,252	0,178 1,187 0,545 0,622 -0,092 0,223 0,745
3128	0,363 1,490 0,584 0,427 -0,235 0,058 0,871	0,435 1,171 0,638 0,274 -0,628 0,683 0,252	0,178 1,187 0,545 0,622 -0,092 0,223 0,745
3147	0,363 1,479 0,585 0,447 -0,232 0,058 0,862	0,421 1,163 0,631 0,250 -0,625 0,691 0,263	0,164 1,178 0,535 0,625 -0,100 0,224 0,741
3159	0,363 1,464 0,585 0,474 -0,232 0,059 0,847	0,400 1,151 0,617 0,225 -0,628 0,694 0,271	0,141 1,163 0,516 0,636 -0,113 0,225 0,729
3168	0,363 1,456 0,584 0,489 -0,233 0,060 0,839	0,391 1,146 0,608 0,222 -0,637 0,687 0,269	0,128 1,155 0,504 0,652 -0,124 0,221 0,714
