timeDeltas	HMD	RightTracker	LeftTracker
79	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,000 0,000 0,000 0,000 0,000 0,000 1,000
178	0,449 1,718 0,465 -0,068 -0,127 0,010 0,990	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,324 1,306 0,736 0,643 0,160 -0,189 0,724
1058	0,450 1,719 0,463 -0,074 -0,126 0,008 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,327 1,318 0,774 0,597 0,057 -0,093 0,795
1099	0,452 1,723 0,456 -0,086 -0,132 0,002 0,987	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,314 1,332 0,745 0,503 -0,345 0,373 0,699
1121	0,457 1,723 0,457 -0,084 -0,130 -0,008 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,341 1,336 0,752 0,515 -0,290 0,378 0,713
1130	0,457 1,724 0,458 -0,083 -0,129 -0,008 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,348 1,336 0,750 0,524 -0,280 0,374 0,713
1144	0,458 1,724 0,457 -0,087 -0,129 -0,008 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,355 1,335 0,747 0,535 -0,269 0,369 0,711
1168	0,458 1,724 0,456 -0,089 -0,129 -0,008 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,362 1,335 0,742 0,548 -0,257 0,363 0,708
1182	0,458 1,724 0,456 -0,089 -0,127 -0,007 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,367 1,335 0,737 0,560 -0,251 0,358 0,704
1190	0,459 1,725 0,456 -0,091 -0,125 -0,006 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,370 1,335 0,732 0,573 -0,243 0,352 0,699
1196	0,459 1,725 0,456 -0,091 -0,125 -0,006 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,370 1,335 0,732 0,573 -0,243 0,352 0,699
1207	0,459 1,725 0,456 -0,091 -0,125 -0,006 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,370 1,335 0,732 0,573 -0,243 0,352 0,699
1216	0,459 1,724 0,456 -0,090 -0,124 -0,005 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,366 1,331 0,728 0,589 -0,234 0,347 0,692
1223	0,459 1,724 0,456 -0,090 -0,124 -0,005 0,988	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,366 1,331 0,728 0,589 -0,234 0,347 0,692
1231	0,459 1,724 0,456 -0,089 -0,122 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,330 0,720 0,606 -0,224 0,339 0,684
1239	0,459 1,724 0,456 -0,089 -0,122 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,330 0,720 0,606 -0,224 0,339 0,684
1248	0,459 1,724 0,456 -0,089 -0,122 -0,005 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,371 1,330 0,720 0,606 -0,224 0,339 0,684
1258	0,458 1,724 0,456 -0,088 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,373 1,328 0,713 0,623 -0,215 0,329 0,676
1272	0,458 1,724 0,456 -0,088 -0,122 -0,006 0,989	0,000 0,000 0,000 0,000 0,000 0,000 1,000	0,373 1,328 0,713 0,623 -0,215 0,329 0,676
