timeDeltas	HMD	RightTracker	LeftTracker
419875	0,352 1,635 0,266 0,284 -0,011 0,004 0,959	0,266 1,234 0,552 -0,329 -0,214 -0,152 0,907	0,100 1,254 0,341 -0,384 -0,223 -0,059 0,894
419893	0,352 1,637 0,267 0,267 -0,001 0,005 0,964	0,254 1,231 0,608 -0,319 -0,232 -0,167 0,903	0,102 1,253 0,344 -0,378 -0,217 -0,062 0,898
419921	0,354 1,642 0,268 0,252 0,012 0,006 0,968	0,256 1,233 0,612 -0,319 -0,230 -0,167 0,904	0,102 1,253 0,346 -0,377 -0,212 -0,063 0,899
419941	0,354 1,642 0,268 0,252 0,012 0,006 0,968	0,256 1,233 0,612 -0,319 -0,230 -0,167 0,904	0,102 1,253 0,346 -0,377 -0,212 -0,063 0,899
419951	0,355 1,651 0,266 0,219 0,025 0,007 0,975	0,259 1,235 0,612 -0,322 -0,226 -0,165 0,904	0,103 1,253 0,347 -0,376 -0,211 -0,056 0,901
420001	0,355 1,651 0,266 0,219 0,025 0,007 0,975	0,259 1,235 0,612 -0,322 -0,226 -0,165 0,904	0,103 1,253 0,347 -0,376 -0,211 -0,056 0,901
420010	0,353 1,654 0,265 0,193 0,034 0,009 0,981	0,261 1,236 0,612 -0,326 -0,223 -0,167 0,904	0,104 1,252 0,349 -0,377 -0,209 -0,056 0,901
420042	0,353 1,654 0,265 0,193 0,034 0,009 0,981	0,261 1,236 0,612 -0,326 -0,223 -0,167 0,904	0,104 1,252 0,349 -0,377 -0,209 -0,056 0,901
420050	0,349 1,657 0,263 0,165 0,033 0,010 0,986	0,262 1,236 0,613 -0,327 -0,221 -0,165 0,904	0,104 1,251 0,351 -0,376 -0,208 -0,053 0,901
420092	0,349 1,657 0,263 0,165 0,033 0,010 0,986	0,262 1,236 0,613 -0,327 -0,221 -0,165 0,904	0,104 1,251 0,351 -0,376 -0,208 -0,053 0,901
420112	0,345 1,656 0,263 0,155 0,020 0,005 0,988	0,263 1,237 0,611 -0,331 -0,220 -0,162 0,903	0,105 1,251 0,352 -0,377 -0,206 -0,049 0,902
420128	0,341 1,656 0,261 0,153 0,006 0,003 0,988	0,266 1,238 0,610 -0,337 -0,218 -0,159 0,902	0,106 1,252 0,353 -0,379 -0,204 -0,048 0,901
420137	0,341 1,656 0,261 0,153 0,006 0,003 0,988	0,266 1,238 0,610 -0,337 -0,218 -0,159 0,902	0,106 1,252 0,353 -0,379 -0,204 -0,048 0,901
420169	0,341 1,656 0,261 0,153 0,006 0,003 0,988	0,266 1,238 0,610 -0,337 -0,218 -0,159 0,902	0,106 1,252 0,353 -0,379 -0,204 -0,048 0,901
420183	0,337 1,657 0,260 0,150 -0,009 0,001 0,989	0,268 1,238 0,609 -0,340 -0,214 -0,156 0,902	0,107 1,252 0,354 -0,381 -0,202 -0,044 0,901
420209	0,333 1,659 0,258 0,145 -0,023 0,000 0,989	0,270 1,238 0,608 -0,342 -0,211 -0,155 0,903	0,107 1,252 0,355 -0,382 -0,201 -0,042 0,901
420221	0,333 1,659 0,258 0,145 -0,023 0,000 0,989	0,270 1,238 0,608 -0,342 -0,211 -0,155 0,903	0,107 1,252 0,355 -0,382 -0,201 -0,042 0,901
420242	0,331 1,661 0,256 0,140 -0,030 -0,001 0,990	0,271 1,239 0,606 -0,343 -0,209 -0,156 0,903	0,107 1,252 0,355 -0,383 -0,201 -0,040 0,901
420254	0,331 1,661 0,256 0,140 -0,030 -0,001 0,990	0,271 1,239 0,606 -0,343 -0,209 -0,156 0,903	0,107 1,252 0,355 -0,383 -0,201 -0,040 0,901
420306	0,331 1,661 0,256 0,140 -0,030 -0,001 0,990	0,271 1,239 0,606 -0,343 -0,209 -0,156 0,903	0,107 1,252 0,355 -0,383 -0,201 -0,040 0,901
420326	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420349	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420390	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420401	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420436	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420484	0,326 1,664 0,253 0,125 -0,049 -0,006 0,991	0,272 1,241 0,603 -0,350 -0,211 -0,149 0,901	0,106 1,249 0,355 -0,381 -0,200 -0,038 0,902
420501	0,323 1,665 0,249 0,114 -0,067 -0,009 0,991	0,273 1,244 0,597 -0,353 -0,212 -0,153 0,899	0,105 1,248 0,355 -0,378 -0,200 -0,039 0,903
420519	0,321 1,666 0,247 0,109 -0,076 -0,012 0,991	0,271 1,245 0,596 -0,354 -0,213 -0,153 0,898	0,104 1,248 0,355 -0,379 -0,201 -0,038 0,903
